two_theta_deg,TiO2,Nb2-TiO2,Nb5-TiO2
10.00,375,327,316
10.05,351,318,319
10.10,322,308,354
10.15,355,333,301
10.20,348,325,302
10.25,327,320,358
10.30,353,312,330
10.35,319,343,311
10.40,331,312,318
10.45,322,325,331
10.50,282,338,347
10.55,339,303,319
10.60,326,320,341
10.65,302,326,310
10.70,307,306,319
10.75,314,311,332
10.80,323,317,295
10.85,308,288,358
10.90,308,323,287
10.95,279,320,276
11.00,290,338,281
11.05,285,322,329
11.10,307,330,315
11.15,299,294,303
11.20,327,350,301
11.25,307,294,325
11.30,262,272,317
11.35,321,300,303
11.40,302,287,306
11.45,282,272,291
11.50,290,274,321
11.55,287,316,290
11.60,281,281,277
11.65,272,252,291
11.70,284,268,295
11.75,286,262,272
11.80,306,295,284
11.85,257,267,265
11.90,256,278,278
11.95,287,296,264
12.00,245,275,292
12.05,270,238,277
12.10,256,267,295
12.15,278,247,257
12.20,267,266,289
12.25,276,267,285
12.30,265,304,277
12.35,265,295,283
12.40,292,257,286
12.45,276,251,259
12.50,262,255,252
12.55,239,267,253
12.60,303,290,248
12.65,254,259,267
12.70,248,280,267
12.75,249,253,278
12.80,229,262,232
12.85,255,269,247
12.90,282,285,278
12.95,253,272,240
13.00,242,270,243
13.05,255,242,268
13.10,240,234,251
13.15,257,246,270
13.20,260,251,242
13.25,231,260,268
13.30,238,248,251
13.35,236,242,209
13.40,260,246,238
13.45,224,220,281
13.50,233,246,236
13.55,238,228,242
13.60,236,223,241
13.65,242,266,232
13.70,252,233,245
13.75,210,211,235
13.80,229,219,221
13.85,220,226,215
13.90,206,219,235
13.95,241,252,237
14.00,192,227,238
14.05,213,195,230
14.10,227,226,225
14.15,204,205,235
14.20,262,207,234
14.25,223,230,219
14.30,208,248,232
14.35,244,240,226
14.40,247,234,249
14.45,246,211,195
14.50,222,225,194
14.55,233,254,203
14.60,228,223,228
14.65,215,216,224
14.70,227,199,202
14.75,225,219,209
14.80,203,244,217
14.85,206,227,198
14.90,189,194,203
14.95,226,213,190
15.00,213,201,242
15.05,230,204,224
15.10,201,199,207
15.15,182,184,191
15.20,186,186,209
15.25,201,197,243
15.30,174,195,200
15.35,205,209,204
15.40,199,213,210
15.45,188,193,198
15.50,191,186,206
15.55,200,211,204
15.60,219,198,205
15.65,178,197,214
15.70,154,206,190
15.75,201,184,167
15.80,190,198,173
15.85,207,189,206
15.90,165,194,186
15.95,186,191,196
16.00,198,175,184
16.05,193,216,169
16.10,186,182,164
16.15,199,189,179
16.20,182,191,217
16.25,196,199,184
16.30,192,208,198
16.35,195,188,180
16.40,178,195,176
16.45,181,218,188
16.50,195,195,167
16.55,183,171,169
16.60,182,164,195
16.65,184,170,186
16.70,159,179,204
16.75,196,173,193
16.80,184,171,190
16.85,156,204,170
16.90,175,180,191
16.95,199,168,221
17.00,176,167,190
17.05,175,178,185
17.10,177,169,156
