scan_rate_mV_s,potential_V_vs_RHE,current_mA
10,1.0000,0.0292
10,1.0020,0.0191
10,1.0040,0.0177
10,1.0060,0.0204
10,1.0080,0.0174
10,1.0100,0.0280
10,1.0120,0.0255
10,1.0140,0.0246
10,1.0160,0.0276
10,1.0180,0.0196
10,1.0200,0.0167
10,1.0220,0.0234
10,1.0240,0.0232
10,1.0260,0.0186
10,1.0280,0.0241
10,1.0300,0.0279
10,1.0320,0.0199
10,1.0340,0.0228
10,1.0360,0.0234
10,1.0380,0.0239
10,1.0400,0.0261
10,1.0420,0.0244
10,1.0440,0.0276
10,1.0460,0.0188
10,1.0480,0.0201
10,1.0500,0.0253
10,1.0520,0.0202
10,1.0540,0.0198
10,1.0560,0.0218
10,1.0580,0.0234
10,1.0600,0.0200
10,1.0620,0.0244
10,1.0640,0.0276
10,1.0660,0.0149
10,1.0680,0.0129
10,1.0700,0.0250
10,1.0720,0.0188
10,1.0740,0.0278
10,1.0760,0.0335
10,1.0780,0.0214
10,1.0800,0.0205
10,1.0820,0.0220
10,1.0840,0.0231
10,1.0860,0.0218
10,1.0880,0.0184
10,1.0900,0.0237
10,1.0920,0.0139
10,1.0940,0.0236
10,1.0960,0.0224
10,1.0980,0.0272
10,1.1000,0.0227
10,1.1020,0.0239
10,1.1040,0.0182
10,1.1060,0.0227
10,1.1080,0.0251
10,1.1100,0.0261
10,1.1120,0.0225
10,1.1140,0.0283
10,1.1160,0.0271
10,1.1180,0.0194
10,1.1200,0.0121
10,1.1220,0.0176
10,1.1240,0.0223
10,1.1260,0.0226
10,1.1280,0.0208
10,1.1300,0.0203
10,1.1320,0.0246
10,1.1340,0.0196
10,1.1360,0.0135
10,1.1380,0.0208
10,1.1400,0.0261
10,1.1420,0.0186
10,1.1440,0.0246
10,1.1460,0.0243
10,1.1480,0.0219
10,1.1500,0.0236
10,1.1520,0.0183
10,1.1540,0.0222
10,1.1560,0.0280
10,1.1580,0.0217
10,1.1600,0.0176
10,1.1620,0.0279
10,1.1640,0.0166
10,1.1660,0.0286
10,1.1680,0.0224
10,1.1700,0.0245
10,1.1720,0.0234
10,1.1740,0.0221
10,1.1760,0.0263
10,1.1780,0.0217
10,1.1800,0.0187
10,1.1820,0.0222
10,1.1840,0.0150
10,1.1860,0.0214
10,1.1880,0.0149
10,1.1900,0.0221
10,1.1920,0.0249
10,1.1940,0.0246
10,1.1960,0.0215
10,1.1980,0.0112
10,1.2000,0.0201
10,1.2020,0.0271
10,1.2040,0.0196
10,1.2060,0.0242
10,1.2080,0.0194
10,1.2100,0.0284
10,1.2120,0.0137
10,1.2140,0.0200
10,1.2160,0.0205
10,1.2180,0.0241
10,1.2200,0.0222
10,1.2220,0.0227
10,1.2240,0.0129
10,1.2260,0.0300
10,1.2280,0.0228
10,1.2300,0.0195
10,1.2320,0.0276
10,1.2340,0.0176
10,1.2360,0.0234
10,1.2380,0.0260
10,1.2400,0.0251
10,1.2420,0.0230
10,1.2440,0.0217
10,1.2460,0.0180
10,1.2480,0.0234
10,1.2500,0.0169
10,1.2520,0.0263
10,1.2540,0.0255
10,1.2560,0.0222
10,1.2580,0.0144
10,1.2600,0.0247
10,1.2620,0.0247
10,1.2640,0.0178
10,1.2660,0.0205
10,1.2680,0.0227
10,1.2700,0.0250
10,1.2720,0.0207
10,1.2740,0.0189
10,1.2760,0.0202
10,1.2780,0.0184
10,1.2800,0.0295
10,1.2820,0.0298
