freq_Hz,Z_real_ohm,Z_imag_ohm
1e+05,1.809,0.007
7.943e+04,1.610,-0.054
6.31e+04,1.711,-0.204
5.012e+04,1.788,-0.239
3.981e+04,1.781,-0.243
3.162e+04,1.723,-0.207
2.512e+04,1.888,-0.464
1.995e+04,1.792,-0.448
1.585e+04,1.802,-0.485
1.259e+04,1.914,-0.758
1e+04,1.735,-0.824
7943,1.804,-1.072
6310,1.846,-1.355
5012,1.886,-1.612
3981,1.936,-1.907
3162,2.109,-2.421
2512,2.099,-3.158
1995,2.250,-3.787
1585,2.756,-4.747
1259,3.328,-5.991
1000,4.123,-7.212
794.3,5.369,-8.549
631,6.877,-9.910
501.2,8.895,-11.194
398.1,11.399,-11.981
316.2,14.223,-12.227
251.2,17.193,-11.912
199.5,19.548,-11.064
158.5,21.547,-9.934
125.9,23.232,-8.541
100,24.270,-7.192
79.43,25.032,-6.088
63.1,25.567,-4.916
50.12,25.855,-4.066
39.81,26.231,-3.607
31.62,26.488,-2.862
25.12,26.493,-2.317
19.95,26.690,-2.073
15.85,26.877,-1.884
12.59,27.057,-1.764
10,26.968,-1.553
7.943,27.074,-1.555
6.31,27.193,-1.233
5.012,27.414,-1.550
3.981,27.464,-1.497
3.162,27.663,-1.632
2.512,27.763,-1.788
1.995,28.026,-1.884
1.585,28.288,-2.106
1.259,28.302,-2.268
1,28.581,-2.578
0.7943,28.959,-2.818
0.631,29.264,-3.164
0.5012,29.602,-3.302
0.3981,30.034,-3.808
0.3162,30.539,-4.353
0.2512,31.006,-4.761
0.1995,31.721,-5.431
0.1585,32.408,-6.165
0.1259,33.029,-6.702
0.1,33.758,-7.437
