sample,pore_width_nm,dV_dlogD_cm3_g
NC-800,1.700,0.0369
NC-800,1.863,0.0503
NC-800,2.041,0.0466
NC-800,2.236,0.0564
NC-800,2.450,0.0453
NC-800,2.685,0.0496
NC-800,2.941,0.1138
NC-800,3.223,0.2394
NC-800,3.531,0.5176
NC-800,3.869,0.8252
NC-800,4.239,0.9534
NC-800,4.645,0.7583
NC-800,5.089,0.4576
NC-800,5.576,0.2084
NC-800,6.110,0.0702
NC-800,6.695,0.0538
NC-800,7.335,0.0345
NC-800,8.037,0.0353
NC-800,8.806,0.0390
NC-800,9.648,0.0237
NC-800,10.572,0.0229
NC-800,11.583,0.0475
NC-800,12.691,0.0321
NC-800,13.906,0.0420
NC-800,15.236,0.0443
NC-800,16.694,0.0322
NC-800,18.292,0.0175
NC-800,20.042,0.0440
NC-800,21.959,0.0215
NC-800,24.060,0.0167
NC-800,26.363,0.0247
NC-800,28.885,0.0279
NC-800,31.649,0.0228
NC-800,34.677,0.0119
NC-800,37.995,0.0233
NC-800,41.631,0.0051
NC-800,45.614,0.0149
NC-800,49.978,0.0070
NC-800,54.760,0.0000
NC-800,60.000,0.0138
Co-SA/NC,1.700,0.0611
Co-SA/NC,1.863,0.0619
Co-SA/NC,2.041,0.0583
Co-SA/NC,2.236,0.0451
Co-SA/NC,2.450,0.0862
Co-SA/NC,2.685,0.1925
Co-SA/NC,2.941,0.4342
Co-SA/NC,3.223,0.7457
Co-SA/NC,3.531,0.9361
Co-SA/NC,3.869,0.8612
Co-SA/NC,4.239,0.5653
Co-SA/NC,4.645,0.2714
Co-SA/NC,5.089,0.1245
Co-SA/NC,5.576,0.0607
Co-SA/NC,6.110,0.0472
Co-SA/NC,6.695,0.0465
Co-SA/NC,7.335,0.0373
Co-SA/NC,8.037,0.0481
Co-SA/NC,8.806,0.0323
Co-SA/NC,9.648,0.0609
Co-SA/NC,10.572,0.0460
Co-SA/NC,11.583,0.0456
Co-SA/NC,12.691,0.0248
Co-SA/NC,13.906,0.0354
Co-SA/NC,15.236,0.0207
Co-SA/NC,16.694,0.0209
Co-SA/NC,18.292,0.0342
Co-SA/NC,20.042,0.0427
Co-SA/NC,21.959,0.0287
Co-SA/NC,24.060,0.0295
Co-SA/NC,26.363,0.0126
Co-SA/NC,28.885,0.0000
Co-SA/NC,31.649,0.0371
Co-SA/NC,34.677,0.0029
Co-SA/NC,37.995,0.0073
Co-SA/NC,41.631,0.0123
Co-SA/NC,45.614,0.0000
Co-SA/NC,49.978,0.0000
Co-SA/NC,54.760,0.0083
Co-SA/NC,60.000,0.0000
