sample,branch,p_over_p0,quantity_cm3_g_STP
NC-800,adsorption,0.0050,5.04
NC-800,adsorption,0.0070,7.27
NC-800,adsorption,0.0097,9.62
NC-800,adsorption,0.0136,13.81
NC-800,adsorption,0.0189,17.63
NC-800,adsorption,0.0264,24.49
NC-800,adsorption,0.0368,29.39
NC-800,adsorption,0.0514,36.92
NC-800,adsorption,0.0717,44.94
NC-800,adsorption,0.1000,54.56
NC-800,adsorption,0.1400,62.35
NC-800,adsorption,0.1693,68.54
NC-800,adsorption,0.1986,71.41
NC-800,adsorption,0.2279,75.71
NC-800,adsorption,0.2572,79.34
NC-800,adsorption,0.2866,80.31
NC-800,adsorption,0.3159,81.22
NC-800,adsorption,0.3452,85.59
NC-800,adsorption,0.3745,87.56
NC-800,adsorption,0.4038,89.06
NC-800,adsorption,0.4331,91.07
NC-800,adsorption,0.4624,94.08
NC-800,adsorption,0.4917,95.54
NC-800,adsorption,0.5210,101.60
NC-800,adsorption,0.5503,111.78
NC-800,adsorption,0.5797,126.04
NC-800,adsorption,0.6090,149.40
NC-800,adsorption,0.6383,175.27
NC-800,adsorption,0.6676,197.27
NC-800,adsorption,0.6969,209.32
NC-800,adsorption,0.7262,217.63
NC-800,adsorption,0.7555,222.52
NC-800,adsorption,0.7848,225.20
NC-800,adsorption,0.8141,225.38
NC-800,adsorption,0.8434,227.64
NC-800,adsorption,0.8728,228.45
NC-800,adsorption,0.9021,230.20
NC-800,adsorption,0.9314,233.33
NC-800,adsorption,0.9607,238.93
NC-800,adsorption,0.9900,268.27
NC-800,desorption,0.9900,268.60
NC-800,desorption,0.9600,238.29
NC-800,desorption,0.9300,231.21
NC-800,desorption,0.9000,229.72
NC-800,desorption,0.8700,228.91
NC-800,desorption,0.8400,227.54
NC-800,desorption,0.8100,226.11
NC-800,desorption,0.7800,225.32
NC-800,desorption,0.7500,224.49
NC-800,desorption,0.7200,223.24
NC-800,desorption,0.6900,220.76
NC-800,desorption,0.6600,219.01
NC-800,desorption,0.6300,218.02
NC-800,desorption,0.6000,212.42
NC-800,desorption,0.5700,206.61
NC-800,desorption,0.5400,193.00
NC-800,desorption,0.5100,170.69
NC-800,desorption,0.4800,144.50
NC-800,desorption,0.4500,120.82
NC-800,desorption,0.4200,103.87
NC-800,desorption,0.3900,94.07
NC-800,desorption,0.3600,89.40
NC-800,desorption,0.3300,85.67
NC-800,desorption,0.3000,83.03
Co-SA/NC,adsorption,0.0050,8.80
Co-SA/NC,adsorption,0.0070,11.33
Co-SA/NC,adsorption,0.0097,15.33
Co-SA/NC,adsorption,0.0136,21.18
Co-SA/NC,adsorption,0.0189,28.43
Co-SA/NC,adsorption,0.0264,37.13
Co-SA/NC,adsorption,0.0368,45.98
Co-SA/NC,adsorption,0.0514,58.16
Co-SA/NC,adsorption,0.0717,70.88
Co-SA/NC,adsorption,0.1000,82.60
Co-SA/NC,adsorption,0.1400,96.24
Co-SA/NC,adsorption,0.1693,102.56
Co-SA/NC,adsorption,0.1986,109.18
Co-SA/NC,adsorption,0.2279,114.52
Co-SA/NC,adsorption,0.2572,118.46
Co-SA/NC,adsorption,0.2866,122.47
Co-SA/NC,adsorption,0.3159,125.26
Co-SA/NC,adsorption,0.3452,127.59
Co-SA/NC,adsorption,0.3745,131.36
Co-SA/NC,adsorption,0.4038,135.85
Co-SA/NC,adsorption,0.4331,139.17
Co-SA/NC,adsorption,0.4624,149.31
Co-SA/NC,adsorption,0.4917,162.45
Co-SA/NC,adsorption,0.5210,187.52
Co-SA/NC,adsorption,0.5503,223.69
Co-SA/NC,adsorption,0.5797,265.85
Co-SA/NC,adsorption,0.6090,295.95
Co-SA/NC,adsorption,0.6383,318.87
Co-SA/NC,adsorption,0.6676,330.78
Co-SA/NC,adsorption,0.6969,335.99
Co-SA/NC,adsorption,0.7262,339.48
Co-SA/NC,adsorption,0.7555,342.70
Co-SA/NC,adsorption,0.7848,342.37
Co-SA/NC,adsorption,0.8141,345.00
Co-SA/NC,adsorption,0.8434,345.26
Co-SA/NC,adsorption,0.8728,347.02
Co-SA/NC,adsorption,0.9021,349.27
Co-SA/NC,adsorption,0.9314,350.64
Co-SA/NC,adsorption,0.9607,358.86
Co-SA/NC,adsorption,0.9900,387.03
Co-SA/NC,desorption,0.9900,387.61
Co-SA/NC,desorption,0.9600,358.67
Co-SA/NC,desorption,0.9300,351.22
Co-SA/NC,desorption,0.9000,348.18
Co-SA/NC,desorption,0.8700,346.82
Co-SA/NC,desorption,0.8400,345.81
Co-SA/NC,desorption,0.8100,344.27
Co-SA/NC,desorption,0.7800,342.84
Co-SA/NC,desorption,0.7500,343.26
Co-SA/NC,desorption,0.7200,340.77
Co-SA/NC,desorption,0.6900,338.67
Co-SA/NC,desorption,0.6600,339.55
Co-SA/NC,desorption,0.6300,336.32
Co-SA/NC,desorption,0.6000,333.24
Co-SA/NC,desorption,0.5700,330.11
Co-SA/NC,desorption,0.5400,323.65
Co-SA/NC,desorption,0.5100,313.22
Co-SA/NC,desorption,0.4800,292.18
Co-SA/NC,desorption,0.4500,256.58
Co-SA/NC,desorption,0.4200,214.86
Co-SA/NC,desorption,0.3900,177.73
Co-SA/NC,desorption,0.3600,151.31
Co-SA/NC,desorption,0.3300,136.66
Co-SA/NC,desorption,0.3000,127.82
